comment_text,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,random_feature_1,random_feature_2,toxic
Зачем ты вообще пишешь?,21,5,5,2,2,0.8632906606500136,17,0,0.4549489211784802,7,1
ТВОИ СЛОВА — ЭТО ПОЛНЫЙ ПРОВАЛ.,33,6,4,3,1,0.34200460016688017,14,1,0.3208349292816104,2,1
ЗАЧЕМ ТЫ ВООБЩЕ ПИШЕШЬ?,23,3,4,2,2,0.4205059269928235,17,1,0.6043680376123013,1,1
Ты только тратишь время людей.,31,4,5,3,2,0.7737349138514534,19,0,0.22780344419070098,8,1
Спасибо за вашу помощь! !,23,6,1,0,5,0.09618623364601997,18,1,0.4302778048382794,5,0
Твои слова — это полный провал.,32,5,4,2,0,0.9345115667705178,19,1,0.37366549472580357,5,1
Это просто бред.,16,2,2,2,2,0.7412992076055483,12,1,0.5719176115040059,5,1
Какой ужасный комментарий.,25,3,4,3,3,0.15417859822938795,19,1,0.03800993688265253,1,1
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ. ?,33,5,4,1,5,0.11543329576178518,20,1,0.9430015080165223,4,1
"Мне нравится, как вы объясняете.",34,6,1,0,4,0.7642512238308231,20,0,0.197153815854617,9,0
Это просто бред.,14,2,5,3,1,0.984684504343232,13,0,0.20904680140403575,5,1
Спасибо за вашу помощь! ТЕКСТ,27,5,3,0,3,0.46628861854721704,20,1,0.8572095615575596,4,0
ТЫ ТОЛЬКО ТРАТИШЬ ВРЕМЯ ЛЮДЕЙ.,32,5,3,2,5,0.5450011817405397,21,0,0.5742671773854342,8,1
ты ничего не понимаешь!,23,4,4,3,4,0.2381269879979585,16,0,0.3136124457307955,2,1
Ты ничего не понимаешь!,21,3,5,1,1,0.8707164749991289,14,1,0.6256178258124853,7,1
Ты совершенно некомпетентен. !,29,3,2,2,4,0.7706127992660485,17,0,0.5789957967782596,10,1
Это замечательный комментарий! пример,39,5,1,2,2,0.04874061305492039,18,1,0.7570541622297894,5,0
"Ужасный пост, удали это. !",28,4,4,1,0,0.7154880878271243,17,1,0.6756468515522044,6,1
КАКОЙ УЖАСНЫЙ КОММЕНТАРИЙ.,28,2,4,1,3,0.025033507355904483,17,0,0.08629505681651417,9,1
"Это была интересная статья, спасибо.",36,4,0,2,1,0.4615722364834429,16,1,0.6596111183101496,7,0
Ты только тратишь время людей.,32,6,4,1,4,0.3360578338278394,21,1,0.44386698178454376,7,1
Ваш комментарий очень поддерживает. !,35,6,0,2,4,0.021182023450593723,19,0,0.12133671102648169,2,0
"Прекрасный день, чтобы обсудить эту тему.",40,7,1,0,5,0.9786628240216038,21,0,0.4257901617149322,4,0
Какой ужасный комментарий.,24,2,3,2,3,0.11172438079520186,16,0,0.7942789527227003,8,1
"Прекрасный день, чтобы обсудить эту тему. слово",46,7,1,1,2,0.440710428418296,23,1,0.18455890202033154,0,0
Это действительно хороший совет.,31,3,1,1,4,0.2761235612647863,19,1,0.76353804678421,0,0
Очень полезная информация. ТЕКСТ,33,3,0,1,1,0.7888038137046607,23,0,0.250376740995365,2,0
Какой позорный текст!,23,3,5,2,0,0.9587946805684532,16,0,0.32077570260317567,4,1
это просто бред. текст,22,3,5,2,4,0.6945868774322684,10,1,0.9334368781830068,4,1
Ты ничего не понимаешь!,21,4,3,2,0,0.9714181128467112,14,0,0.43034556507244437,2,1
"Это была интересная статья, спасибо.",38,6,3,0,1,0.10307529067406307,19,0,0.30928551391009507,3,0
Это действительно хороший совет.,34,3,0,0,3,0.12986179833044742,18,0,0.10186616400380477,8,0
ты только тратишь время людей.,32,6,3,2,5,0.6177136552121885,18,0,0.49138421617983874,1,1
это замечательный комментарий!,32,4,2,0,0,0.6775196962180915,17,1,0.8541387077412043,2,0
ОЧЕНЬ ПОЛЕЗНАЯ ИНФОРМАЦИЯ.,26,3,3,0,0,0.2944901965978357,17,1,0.16579705623947472,6,0
"Мне нравится, как вы объясняете. ?",34,5,2,2,3,0.6906473802103212,17,0,0.6266303332716576,5,0
Зачем ты вообще пишешь?,21,3,5,1,2,0.013413391379279327,15,1,0.1606832449971649,9,1
Ты только тратишь время людей.,31,5,4,1,3,0.2645371359123395,22,1,0.5870781418661578,1,1
Ты ничего не понимаешь!,21,4,4,2,4,0.28865849121049103,14,1,0.05356769669119865,9,1
Это действительно хороший совет.,34,4,2,1,3,0.7272526054413891,15,0,0.9046872647879703,1,0
Спасибо за вашу помощь!,21,5,1,0,4,0.04212202938771903,15,1,0.8082258620494484,3,0
Мне понравился ваш пост.,24,3,2,1,1,0.15487541009461503,14,0,0.5791314450964936,2,0
"Это была интересная статья, спасибо.",34,4,0,1,2,0.0165648622891601,16,0,0.5550727600228412,7,0
Какой позорный текст!,23,4,5,1,0,0.43473477280078976,16,0,0.4522275345493362,9,1
"МНЕ НРАВИТСЯ, КАК ВЫ ОБЪЯСНЯЕТЕ.",34,6,0,0,2,0.13566027450637852,20,1,0.9571060978572223,2,0
Ваш комментарий очень поддерживает.,33,5,3,0,2,0.33358295168607965,18,1,0.1607368948627289,2,0
Ты совершенно некомпетентен.,30,3,2,2,1,0.2329994302314864,14,0,0.23527718814767684,3,1
Твои слова — это полный провал.,33,7,5,3,1,0.7735735115162105,19,1,0.6250782028096282,8,1
Это действительно хороший совет.,30,5,3,0,3,0.017018157904747366,18,1,0.4166073103616472,4,0
ты совершенно некомпетентен.,27,2,2,2,5,0.9617516188209675,13,1,0.5888117861153995,2,1
"Ужасный пост, удали это.",26,5,4,3,1,0.47479701244246086,16,1,0.5023514402316156,2,1
ты ничего не понимаешь!,22,4,4,3,0,0.5840940990532684,14,0,0.24171722970350362,4,1
Очень полезная информация.,24,2,1,1,1,0.28159375563526035,16,0,0.8460586609257105,4,0
Ты ничего не понимаешь!,21,4,2,2,3,0.5620511082872582,13,1,0.0993623322590591,4,1
Это замечательный комментарий!,31,4,3,0,5,0.5057818188908725,18,0,0.0006722282042651573,7,0
"Прекрасный день, чтобы обсудить эту тему.",41,6,1,2,5,0.4117406927384575,22,1,0.4239343344047236,7,0
это просто бред.,18,3,5,2,5,0.8813801621918833,11,1,0.3818287620136084,3,1
мне понравился ваш пост.,22,3,0,0,4,0.6533381217360978,16,0,0.3067356037264599,9,0
Мне понравился ваш пост.,25,4,1,0,2,0.2723178649243878,15,1,0.9832952715351531,6,0
ТЫ СОВЕРШЕННО НЕКОМПЕТЕНТЕН.,28,2,5,2,5,0.4676406424661771,15,0,0.5121237002425737,9,1
"Прекрасный день, чтобы обсудить эту тему.",40,5,2,2,0,0.1676357735917834,22,1,0.9971634335011459,7,0
Очень полезная информация.,24,3,1,2,1,0.37965763475086967,17,0,0.027046158486808358,8,0
Зачем ты вообще пишешь? пример,28,5,5,3,5,0.4351396110813961,20,0,0.5942842578577204,1,1
Это действительно хороший совет.,34,4,3,0,5,0.19110411292202423,15,0,0.462223622924846,7,0
ты совершенно некомпетентен.,30,2,5,3,0,0.7416838965277356,16,1,0.7917632763744017,10,1
Это просто бред. ?,18,4,2,1,1,0.22845108477294118,11,1,0.19305952055592113,4,1
Ты ничего не понимаешь!,21,5,4,1,1,0.40863778435393805,14,0,0.7367761136161911,8,1
